level,n,L0,L1,L2,L3,L3_rate,PoV_rate,compile_rate
L1,126,31,72,7,16,12.7%,18.3%,75.4%
L2,126,24,68,9,25,19.8%,27.0%,81.0%
L3a,126,25,71,9,21,16.7%,23.8%,80.2%
L3b,126,35,64,6,21,16.7%,21.4%,72.2%
