model,n,L0,L1,L2,L3,L3_rate,PoV_rate,compile_rate
claude,168,44,89,11,24,14.3%,20.8%,73.8%
gemini,168,26,97,8,37,22.0%,26.8%,84.5%
gpt,168,45,89,12,22,13.1%,20.2%,73.2%
